# 
# Header Description:
# 
# Version: v3.1.0.4 Platform: 15 Manufacturer: Google Model: Pixel 7a GNSS Hardware Model Name: Broadcom, BCM4776, GLL ver. 154.20.24 616640
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,IsFullTracking
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
# 
# Accel,utcTimeMillis,elapsedRealtimeNanos,AccelXMps2,AccelYMps2,AccelZMps2
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
# 
# Gyro,utcTimeMillis,elapsedRealtimeNanos,GyroXRadPerSec,GyroYRadPerSec,GyroZRadPerSec
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT
# 
# Mag,utcTimeMillis,elapsedRealtimeNanos,MagXMicroT,MagYMicroT,MagZMicroT
# 
# Pressure,utcTimeMillis,elapsedRealtimeNanos,PressureHpa
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
# 
Agc,1746167326992,13105000000,,,-1430202531887991771,0.0,2200003926,,,12,35.234554290771484,1575420000,6
Agc,1746167326992,13105000000,,,-1430202531887991771,0.0,2200003926,,,12,0.0,1176450000,6
Agc,1746167326992,13105000000,,,-1430202531887991771,0.0,2200003926,,,12,53.544403076171875,1561096000,5
Agc,1746167326992,13105000000,,,-1430202531887991771,0.0,2200003926,,,12,35.234554290771484,1575420000,5
Agc,1746167326992,13105000000,,,-1430202531887991771,0.0,2200003926,,,12,0.0,1176450000,5
Agc,1746167327992,14105000000,,,-1430202531887991138,0.0,2200004228,,,12,34.27734375,1575420000,1
Agc,1746167327992,14105000000,,,-1430202531887991138,0.0,2200004228,,,12,0.0,1176450000,1
Agc,1746167327992,14105000000,,,-1430202531887991138,0.0,2200004228,,,12,48.256744384765625,1602000000,3
Agc,1746167327992,14105000000,,,-1430202531887991138,0.0,2200004228,,,12,34.27734375,1575420000,6
Agc,1746167327992,14105000000,,,-1430202531887991138,0.0,2200004228,,,12,0.0,1176450000,6
Agc,1746167327992,14105000000,,,-1430202531887991138,0.0,2200004228,,,12,53.544403076171875,1561096000,5
Agc,1746167327992,14105000000,,,-1430202531887991138,0.0,2200004228,,,12,34.27734375,1575420000,5
Agc,1746167327992,14105000000,,,-1430202531887991138,0.0,2200004228,,,12,0.0,1176450000,5
Agc,1746167328992,15105000000,,,-1430202531887990504,0.0,2200004530,,,12,33.296356201171875,1575420000,1
Agc,1746167328992,15105000000,,,-1430202531887990504,0.0,2200004530,,,12,0.0,1176450000,1
Agc,1746167328992,15105000000,,,-1430202531887990504,0.0,2200004530,,,12,48.086429595947266,1602000000,3
Agc,1746167328992,15105000000,,,-1430202531887990504,0.0,2200004530,,,12,33.296356201171875,1575420000,6
Agc,1746167328992,15105000000,,,-1430202531887990504,0.0,2200004530,,,12,0.0,1176450000,6
Agc,1746167328992,15105000000,,,-1430202531887990504,0.0,2200004530,,,12,53.544403076171875,1561096000,5
Agc,1746167328992,15105000000,,,-1430202531887990504,0.0,2200004530,,,12,33.296356201171875,1575420000,5
Agc,1746167328992,15105000000,,,-1430202531887990504,0.0,2200004530,,,12,0.0,1176450000,5
Agc,1746167329992,16105000000,,,-1430202531887989872,0.0,2200004832,,,12,35.384315490722656,1575420000,1
Agc,1746167329992,16105000000,,,-1430202531887989872,0.0,2200004832,,,12,0.0,1176450000,1
Agc,1746167329992,16105000000,,,-1430202531887989872,0.0,2200004832,,,12,48.98435974121094,1602000000,3
Agc,1746167329992,16105000000,,,-1430202531887989872,0.0,2200004832,,,12,35.384315490722656,1575420000,6
Agc,1746167329992,16105000000,,,-1430202531887989872,0.0,2200004832,,,12,0.0,1176450000,6
Agc,1746167329992,16105000000,,,-1430202531887989872,0.0,2200004832,,,12,53.544403076171875,1561096000,5
Agc,1746167329992,16105000000,,,-1430202531887989872,0.0,2200004832,,,12,35.384315490722656,1575420000,5
Agc,1746167329992,16105000000,,,-1430202531887989872,0.0,2200004832,,,12,0.0,1176450000,5
Agc,1746167330992,17105000000,,,-1430202531887989239,0.0,2200005134,,,12,34.848453521728516,1575420000,1
Agc,1746167330992,17105000000,,,-1430202531887989239,0.0,2200005134,,,12,0.0,1176450000,1
Agc,1746167330992,17105000000,,,-1430202531887989239,0.0,2200005134,,,12,49.36371994018555,1602000000,3
